,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0034341,GO:0034341,response to interferon-gamma,10/57,197/18862,3.46352550231915E-10,2.14589048298413E-07,1.55875130126548E-07,IFITM3/IFI30/IFITM2/GAPDH/IRF7/CD74/MT2A/FCGR1A/HLA-DRB5/IFITM1,10
GO:0060337,GO:0060337,type I interferon signaling pathway,8/57,95/18862,4.13889030698658E-10,2.14589048298413E-07,1.55875130126548E-07,IFITM3/IFITM2/IRF7/ISG15/IFI6/MX1/EGR1/IFITM1,8
GO:0071357,GO:0071357,cellular response to type I interferon,8/57,96/18862,4.50470588483995E-10,2.14589048298413E-07,1.55875130126548E-07,IFITM3/IFITM2/IRF7/ISG15/IFI6/MX1/EGR1/IFITM1,8
GO:0034340,GO:0034340,response to type I interferon,8/57,101/18862,6.78649741614209E-10,2.14589048298413E-07,1.55875130126548E-07,IFITM3/IFITM2/IRF7/ISG15/IFI6/MX1/EGR1/IFITM1,8
GO:0002283,GO:0002283,neutrophil activation involved in immune response,13/57,488/18862,1.72094720329302E-09,3.88688218343753E-07,2.82338856961307E-07,PYCARD/RETN/PLAC8/STXBP2/FCER1G/ITGB2/S100A8/SERPINA1/CD14/CSTB/SELL/TCIRG1/SLC2A3,13
GO:0048002,GO:0048002,antigen processing and presentation of peptide antigen,8/57,194/18862,1.16367763874392E-07,1.14985896678383E-05,8.35244936756323E-06,IFI30/PYCARD/FCER1G/NCF1/CD74/FCGR1A/HLA-DRB5/PSME2,8
GO:0060333,GO:0060333,interferon-gamma-mediated signaling pathway,5/57,91/18862,8.03586736363345E-06,0.000384991100057712,0.000279653310804596,IFI30/IRF7/MT2A/FCGR1A/HLA-DRB5,5
GO:0032602,GO:0032602,chemokine production,5/57,95/18862,9.92045764855218E-06,0.000461301280657676,0.000335084188686391,PYCARD/S100A8/CD74/EGR1/LILRB4,5
GO:0071346,GO:0071346,cellular response to interferon-gamma,6/57,177/18862,1.53079867298236E-05,0.000625250386562988,0.000454175020300423,IFI30/GAPDH/IRF7/MT2A/FCGR1A/HLA-DRB5,6
GO:0035455,GO:0035455,response to interferon-alpha,3/57,21/18862,3.34804871779166E-05,0.00132331625570715,0.000961242408187027,IFITM3/IFITM2/IFITM1,3
GO:1990266,GO:1990266,neutrophil migration,5/57,123/18862,3.46925066763143E-05,0.00133777690378665,0.000971746464283925,FCER1G/ITGB2/S100A8/CD99/CD74,5
GO:0002224,GO:0002224,toll-like receptor signaling pathway,5/57,157/18862,0.000110703248019657,0.00372553580759979,0.00270618833256192,IRF7/ITGB2/S100A8/CD14/NFKBIA,5
GO:0035456,GO:0035456,response to interferon-beta,3/57,31/18862,0.000110752803894491,0.00372553580759979,0.00270618833256192,IFITM3/IFITM2/IFITM1,3
GO:0032642,GO:0032642,regulation of chemokine production,4/57,89/18862,0.000151137754899543,0.00487650592849341,0.00354224039947156,PYCARD/CD74/EGR1/LILRB4,4
GO:0007249,GO:0007249,I-kappaB kinase/NF-kappaB signaling,6/57,282/18862,0.000202675005058048,0.00640858365993548,0.00465512485301748,PYCARD/CD74/CD14/LILRB4/PER1/NFKBIA,6
