,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0034341,GO:0034341,response to interferon-gamma,15/78,197/18862,2.75146990251402E-15,4.90862230608501E-12,3.60297743023941E-12,HLA-C/CCL5/HLA-DPB1/HLA-DPA1/GAPDH/VIM/HLA-DQA1/HLA-DRB1/HLA-DRB5/CD74/MT2A/CDC37/IRF9/OASL/HLA-DRA,15
GO:0071346,GO:0071346,cellular response to interferon-gamma,14/78,177/18862,1.48301411188701E-14,1.32284858780322E-11,9.70983976414445E-12,HLA-C/CCL5/HLA-DPB1/HLA-DPA1/GAPDH/VIM/HLA-DQA1/HLA-DRB1/HLA-DRB5/MT2A/CDC37/IRF9/OASL/HLA-DRA,14
GO:0060333,GO:0060333,interferon-gamma-mediated signaling pathway,11/78,91/18862,1.05550815797833E-13,6.27675517944446E-11,4.60720052114049E-11,HLA-C/HLA-DPB1/HLA-DPA1/HLA-DQA1/HLA-DRB1/HLA-DRB5/MT2A/CDC37/IRF9/OASL/HLA-DRA,11
GO:0002429,GO:0002429,immune response-activating cell surface receptor signaling pathway,18/78,481/18862,7.867450383124E-13,2.80710629669864E-10,2.06044384770658E-10,ACTB/HLA-DPB1/KLRC2/HLA-DPA1/TRBC1/ARPC1B/ARPC2/FCGR3A/HLA-DQA1/PSME2/PSMB9/PSME1/HLA-DRB1/HLA-DRB5/CD3E/LGALS3/LIME1/HLA-DRA,18
GO:0002757,GO:0002757,immune response-activating signal transduction,18/78,481/18862,7.867450383124E-13,2.80710629669864E-10,2.06044384770658E-10,ACTB/HLA-DPB1/KLRC2/HLA-DPA1/TRBC1/ARPC1B/ARPC2/FCGR3A/HLA-DQA1/PSME2/PSMB9/PSME1/HLA-DRB1/HLA-DRB5/CD3E/LGALS3/LIME1/HLA-DRA,18
GO:0050863,GO:0050863,regulation of T cell activation,12/78,327/18862,9.40273800184167E-09,1.3978737162738E-06,1.02605316441149E-06,CCL5/HLA-DPB1/HLA-DPA1/LGALS1/HLA-DRB1/LILRB1/CD74/ZNF683/CD3E/LGALS3/PYCARD/HLA-DRA,12
GO:0002495,GO:0002495,antigen processing and presentation of peptide antigen via MHC class II,8/78,103/18862,1.02629144335566E-08,1.40838764226653E-06,1.03377049031129E-06,HLA-DPB1/HLA-DPA1/HLA-DQA1/HLA-DRB1/HLA-DRB5/CD74/PYCARD/HLA-DRA,8
GO:1903039,GO:1903039,positive regulation of leukocyte cell-cell adhesion,10/78,234/18862,4.28742542998937E-08,4.49927468653002E-06,3.30251221975652E-06,CCL5/HLA-DPB1/HLA-DPA1/LGALS1/HLA-DRB1/LILRB1/CD74/CD3E/PYCARD/HLA-DRA,10
GO:0032649,GO:0032649,regulation of interferon-gamma production,7/78,107/18862,2.94220665780966E-07,2.01880641443555E-05,1.48182391996568E-05,HLA-DPB1/HLA-DPA1/HLA-DRB1/LILRB1/CD3E/PYCARD/ISG15,7
GO:0032609,GO:0032609,interferon-gamma production,7/78,112/18862,4.02081910141934E-07,2.3910470923107E-05,1.75505226742655E-05,HLA-DPB1/HLA-DPA1/HLA-DRB1/LILRB1/CD3E/PYCARD/ISG15,7
GO:0060337,GO:0060337,type I interferon signaling pathway,6/78,95/18862,2.66886152362121E-06,0.000125296025214217,9.19685245258944E-05,HLA-C/MX1/CDC37/IRF9/OASL/ISG15,6
GO:0071357,GO:0071357,cellular response to type I interferon,6/78,96/18862,2.83748860063193E-06,0.00012979691444942,9.52722218403812E-05,HLA-C/MX1/CDC37/IRF9/OASL/ISG15,6
GO:0042119,GO:0042119,neutrophil activation,11/78,500/18862,6.37030692894821E-06,0.000236763074192575,0.000173786443412535,HLA-C/CCL5/LAIR1/SYNGR1/ANXA2/LGALS3/S100A11/PKM/ALDOA/PYCARD/STXBP2,11
GO:0043122,GO:0043122,regulation of I-kappaB kinase/NF-kappaB signaling,7/78,244/18862,6.72896968516119E-05,0.00151955467320602,0.00111536819298341,S100A4/LGALS1/HLA-DRB1/CD74/FLNA/PYCARD/LIME1,7
GO:0002576,GO:0002576,platelet degranulation,5/78,128/18862,0.000188990739465414,0.00362537074415374,0.00266105806332739,CTSW/FLNA/ALDOA/TEX264/STXBP2,5
